unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,,1640,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,8438,1641,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,,1642,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,,1643,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,4352,1644,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,5518,1645,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,10848,1646,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,,1647,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,7,1648,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1649,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1650,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1651,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1652,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1653,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1654,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1655,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1656,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1657,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1658,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1659,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1660,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1661,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1662,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,12053,1663,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,1920,1664,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1665,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1666,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1667,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,63.5,1668,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1669,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1670,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1671,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,11,1672,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,27,1673,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1674,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1675,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1676,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1677,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1678,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1679,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1680,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1681,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1682,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1683,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1684,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1685,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1686,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1687,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1688,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,0,1640,,
