unit,category,use,translation,item,subcategory,value,year,source,jason_notes
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1649.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1650.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1651.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1652.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1653.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1654.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1655.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1656.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1657.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1658.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1660.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1661.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1662.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1665.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1666.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1667.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1669.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1670.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1671.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1674.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1675.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1676.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1677.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1678.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1679.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1680.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1681.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1682.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1683.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1684.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1685.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1686.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1687.0,,
Stof (Fluids),Acid,,beer vinegar,Biereßig,,null,1688.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1640.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1641.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1642.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1643.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1644.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1645.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1646.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1647.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1648.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1649.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1650.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1651.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1652.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1653.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1654.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1655.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1656.0,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1657.0,,
