unit,category,use,translation,item,subcategory,value,date,source,jason_notes
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,,1640,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,8438,1641,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,,1642,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,,1643,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,4352,1644,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,5518,1645,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,10848,1646,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,,1647,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,7,1648,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1649,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1650,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1651,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1652,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1653,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1654,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1655,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1656,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1657,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1658,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,0,1659,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1660,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1661,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1662,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,12053,1663,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,1920,1664,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1665,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1666,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1667,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,63.5,1668,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1669,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1670,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1671,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,11,1672,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,27,1673,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1674,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1675,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1676,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1677,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1678,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1679,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1680,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1681,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1682,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1683,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1684,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1685,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1686,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1687,,
Stof (Fluids),Acid,,beer vinegar,Biere¤ig,,null,1688,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1640,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1641,,
Stof (Fluids),Acid,,cooking wine,Kochwein,,null,1642,,
